sa2_name16, num_mvs_ns, num_mvs_per_dweling_2_mvs, num_mvs_per_dweling_1_mvs, num_mvs_per_dweling_3_mvs, total_dwelings, sa2_main16, num_mvs_per_dweling_tot, num_mvs_per_dweling_0_mvs, num_mvs_per_dweling_4mo_mvs
"Melton West",204,2440,1603,776,5582,"213041358",5379,164,395
"Rockbank - Mount Cottrell",35,181,166,94,596,"213041359",556,28,90
"Taylors Hill",128,2701,1143,846,5349,"213041360",5217,89,439
"Burnside",61,588,418,221,1478,"213041461",1414,84,107
"Hoppers Crossing - South",192,2422,2197,826,6398,"213051362",6207,338,416
"Burnside Heights",40,864,325,258,1625,"213041462",1586,15,109
"Caroline Springs",155,2920,1568,813,5942,"213041463",5792,124,363
"Hoppers Crossing - North",143,2349,1691,1011,6060,"213051361",5917,208,663
"Laverton",101,1048,1105,281,2849,"213051363",2749,215,100
"Tarneit",281,4550,2994,1217,9733,"213051365",9447,169,519
"Truganina",236,3013,2116,675,6399,"213051366",6166,116,247
"Werribee - South",149,1477,1435,481,4134,"213051368",3989,291,308
"Wyndham Vale",195,3100,2472,897,7237,"213051369",7049,207,367
"Point Cook - East",71,1898,935,526,3670,"213051464",3598,51,200
"Point Cook - North",130,3376,2162,827,6962,"213051465",6837,136,331
"Werribee - East",276,2240,2571,715,6707,"213051467",6436,577,333
"Werribee - West",128,1594,1308,572,4141,"213051468",4016,185,355
"Carrum Downs",286,2904,2531,896,7347,"214011370",7060,303,420
"Frankston",386,2972,3819,731,9228,"214011371",8845,992,324
"Frankston North",390,2492,3069,624,7401,"214011372",7010,600,232
"Frankston South",213,2812,1857,855,6522,"214011373",6307,266,522
"Langwarrin",221,3410,2211,1357,8285,"214011374",8069,192,898
"Seaford (Vic.)",288,2452,2684,560,6751,"214011375",6466,530,235
"Skye - Sandhurst",88,2183,849,629,4151,"214011376",4064,59,343
"Dromana",180,1865,1516,478,4389,"214021377",4211,134,215
"Flinders",78,822,405,343,1876,"214021378",1801,25,199
"Hastings - Somers",341,2947,2719,981,7961,"214021379",7623,374,596
"Mornington",364,3609,3680,947,9510,"214021380",9145,516,395
"Mount Eliza",145,2824,1338,1008,5951,"214021381",5805,121,516
"Mount Martha",186,3014,1725,895,6385,"214021382",6207,129,431
"Point Nepean",333,2737,2371,710,6696,"214021383",6365,254,297
"Rosebud - McCrae",494,2992,3534,786,8727,"214021384",8229,595,317
"Somerville",181,2463,1615,1047,6288,"214021385",6109,180,806
